0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Nashik,R.T.O. Colony Tank,91,,,2,,,24,,,12,,
,,"VIP Industrial Area, MIDC Satpura",95,,,3,,,23,,,11,,
,,Nashik Municipal Council Building,94,,,3,,,25,,,12,,
,,"MPCB Sub R.O. Udyog Bhawan, Nashik",293,,,2,,,25,,,12,,
,Navi Mumbai,"T.B.I.A, Rabale Airoli, TTC",100,,,16,,,36,,,23,,
,,"Dr. D.Y. Patil College, Nerul, TTC",103,,,13,,,34,,,21,,
,,"MPCB Lab, Mhape, TTC",104,,,16,,,34,,,23,,
,,CIDCO Nodal Office Kharghar,103,,,14,,,32,,,21,,
State,City,Location,,No. of monitoring,,,SO2 Concentration in µg/m3,,,,,,,
,,,,days,,,Minimum,,,Maximum,,,Annual average,
,,"Water Pump House, Panvel, Taloja",104,,,14,,,58,,,22,,
,,"MIDC Collom Facility Building, Taloja",103,,,16,,,34,,,23,,
,"Pimpri-
Chinchwad","Bank of Baroda Builing, Near M.C Builiding",272,,,6,,,68,,,23,,
,Pune,"Maratha Chamber of commerce, Bhosari",92,,,9,,,50,,,22,,
,,State Electricity Board BLDG Nalstop,85,,,10,,,34,,,19,,
,,Swargate Police Chawki,83,,,8,,,37,,,20,,
,Sangli,"Udyog bhavan / SRO, MPCB Sangli",100,,,5,,,17,,,8,,
,,Sangli- Miraj Primary school Building,100,,,6,,,19,,,10,,
,,Krishna Valley School,99,,,7,,,18,,,10,,
,Solapur,WIT Campus,96,,,11,,,18,,,14,,
,,Voronoko School / Chitale Clinic,97,,,12,,,72,,,19,,
,Thane,"Maternity Hospital, Dhobighat, Thane East",90,,,9,,,35,,,19,,
,,"Shahu Market,Naupada, Thane West",86,,,7,,,29,,,20,,
,,"Kolshet and Balkum, Thane West",90,,,7,,,33,,,16,,
,Ulhasnagar,Smt. C. H. M. College Campus,80,,,13,,,61,,,24,,
,,"Octroi Naka, Pawai-Chowk, Vithalwadi",64,,,14,,,78,,,31,,
Meghalaya,Byrnihat,"EPIP, Ri-Bhoi district",106,,,24,,,49,,,33,,
,Dawki,"Terrace building, Jaintia Hills District",104,,,2,,,2,,,2,,
,Khliehriat,"O/o BDO, C & R.D. Block-Khliehriat",91,,,2,,,3,,,2,,
,Nongstoin,"Office Premises of E.E, PHED",106,,,2,,,2,,,2,,
,Shillong,"Boards Office Permises, Lumpyngngad",106,,,2,,,2,,,2,,
,,State Tuberculosis Hospital,106,,,2,,,6,,,3,,
,,"Forest Rest House, Polo Hills",59,,,2,,,3,,,2,,
,,"41/2 mile, Mylliem Range Office",59,,,2,,,2,,,2,,
,Tura,"PHED, Araimille, West Garo Hills District",105,,,2,,,2,,,2,,
,"Umiam /
Umsning","Umiam Industrial Complex, Ri-Bhoi District",105,,,2,,,2,,,2,,
Mizoram,Aizawl,"Khatla, M.G-Road, Mizoram SPCB",103,,,2,,,2,,,2,,
,,Laipuitlang,97,,,2,,,2,,,2,,
,,Bawngkawn,93,,,2,,,2,,,2,,
,,"Dawrpui Y.M.A, Building, Dawrpui",106,,,2,,,5,,,2,,
,,"Lengpui Airport, Model Veng, Lengpui",104,,,2,,,2,,,2,,
,Champhai,"D.T.O Office Building, Kahrawt veng",105,,,2,,,2,,,2,,
,,"Lalzidinga building, Vengthlang",103,,,2,,,2,,,2,,
,Kolasib,"H. Lalthuama Building, Project Veng",105,,,2,,,2,,,2,,
,,"Synod Bookroom, Building Diakkawn",103,,,2,,,3,,,2,,
,Lunglei,"Thangkhuma Building, Salem Veng",100,,,2,,,2,,,2,,
,,"K.Lalliantluanga, Chanmari I, Lunglei",94,,,2,,,2,,,2,,
Nagaland,Dimapur,Bank Colony,91,,,2,,,2,,,2,,
,,Dhobinala,93,,,2,,,2,,,2,,
,Kohima,Opposite NST Office,95,,,2,,,2,,,2,,
,,Opposite War Cemetery,97,,,2,,,2,,,2,,
Odisha,Angul,Industrial Estate,100,,,4,,,18,,,9,,
,,NALCO Township,99,,,7,,,13,,,9,,
,Balasore,Sahadevkhunta,103,,,2,,,2,,,2,,
,,DIC office,103,,,2,,,2,,,2,,
,,Rasalpur near Balgopalpur I/A,103,,,6,,,10,,,8,,
,Berhampur,Regional Office Orissa SPCB,101,,,2,,,2,,,2,,
,Bhubneshwar,Capital Police Station,87,,,2,,,2,,,2,,
,,IRC Village,77,,,2,,,2,,,2,,
,,Office Premises Bhubaneswar,88,,,2,,,2,,,2,,
,,"Water works, Palasuni, Rasalgarh",71,,,2,,,9,,,2,,
,,"Patrapara, Khandagiri",82,,,2,,,2,,,2,,
,,Chandrashekharpur,95,,,2,,,2,,,2,,
,Cuttack,"Traffic Tower, Badambadi",105,,,3,,,7,,,5,,
,,P.H.D Office Barabati,105,,,2,,,6,,,3,,
,,"R.O. Cuttack Office, Surya Vihar",105,,,2,,,6,,,3,,
,Jharsuguda,R.O. Building Cox colony,83,,,8,,,20,,,11,,
,,"TRL Colony, M/s. TRL Krosaki Refractories Ltd.
PO: Bhepahar,",55,,,6,,,12,,,8,,
,Kalinga Nagar,Over the Guest House of M/s NINL,73,,,2,,,2,,,2,,
,,RO Office Building,90,,,0,,,3,,,2,,
