0,1,2,3,4,5,6,7,8,9,10
,Nashik,R.T.O. Colony Tank,2,,,16,,,6,
,,"VIP Industrial Area, MIDC Satpura",2,,,13,,,5,
,,Nashik Municipal Council Building,2,,,14,,,6,
,,"MPCB Sub R.O. Udyog Bhawan, Nashik",2,,,15,,,6,
,Navi Mumbai,"T.B.I.A, Rabale Airoli, TTC",11,,,20,,,14,
,,"Dr. D.Y. Patil College, Nerul, TTC",11,,,19,,,14,
,,"MPCB Lab, Mhape, TTC",11,,,20,,,13,
,,CIDCO Nodal Office Kharghar,6,,,19,,,13,
,,"Water Pump House, Panvel, Taloja",6,,,19,,,13,
City/Town/Village,,,,,,,,,,
,,,,,,,,,,
Location,,,,,,,,,,
,,,,,,,,,,
Annual,,,,,,,,,,
Average,,,,,,,,,,
State / UT,City/Town/Village,Location,,SO2 Concentration in µg/m3,,,,,,
,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,(24-hourly,,,(24-hourly,,,
,,,,average),,,average),,,
,,"MIDC Collom Facility Building, Taloja",9,,,19,,,14,
,Pimpri-Chinchwad,"Bank of Baroda Builing, Near M.C Builiding",6,,,86,,,16,
,Pune,"Maratha Chamber of commerce, Bhosari",7,,,42,,,14,
,,State Electricity Board BLDG Nalstop,6,,,38,,,14,
,,Swargate Police Chawki,6,,,31,,,16,
,Sangli,"Udyog bhavan / SRO, MPCB Sangli",3,,,13,,,8,
,,Sangli- Miraj Primary school Building,3,,,19,,,9,
,,Krishna Valley School,3,,,17,,,9,
,Solapur,WIT Campus,4,,,16,,,8,
,,Voronoko School / Chitale Clinic,5,,,15,,,9,
,Thane,"Maternity Hospital, Dhobighat, Thane East",11,,,30,,,19,
,,"Shahu Market,Naupada, Thane West",11,,,31,,,21,
,,"Kolshet and Balkum, Thane West",10,,,29,,,19,
,Ulhasnagar,Smt. C. H. M. College Campus,8,,,28,,,17,
,,"Octroi Naka, Pawai-Chowk, Vithalwadi",9,,,33,,,19,
Manipur,Imphal,Secretariat Building,2,,,24,,,5,
Meghalaya,Byrnihat,"EPIP, Ri-Bhoi district",9,,,22,,,16,
,Dawki,"Terrace building, Jaintia Hills District",2,,,5,,,3,
,Khliehriat,"O/o BDO, C & R.D. Block-Khliehriat",2,,,4,,,3,
,Nongstoin,"Office Premises of E.E, PHED",2,,,5,,,2,
,Shillong,"Boards Office Permises, Lumpyngngad",2,,,3,,,2,
,,State Tuberculosis Hospital,3,,,22,,,7,
,,"Forest Rest House, Polo Hills",2,,,5,,,4,
,,"41/2 mile, Mylliem Range Office",2,,,4,,,2,
,Tura,"PHED, Araimille, West Garo Hills District",2,,,4,,,3,
,Umiam / Umsning,"Umiam Industrial Complex, Ri-Bhoi District",2,,,5,,,4,
Mizoram,Aizawl,"Khatla, M.G-Road, Mizoram SPCB",2,,,3,,,2,
,,Laipuitlang,2,,,2,,,2,
,,Bawngkawn,2,,,2,,,2,
,,"Dawrpui Y.M.A, Building, Dawrpui",2,,,2,,,2,
,,"Lengpui Airport, Model Veng, Lengpui",2,,,2,,,2,
,Champhai,"D.T.O Office Building, Kahrawt veng",2,,,4,,,2,
,,"Lalzidinga building, Vengthlang",2,,,2,,,2,
,Kolasib,"H. Lalthuama Building, Project Veng",2,,,2,,,2,
,,"Synod Bookroom, Building Diakkawn",2,,,2,,,2,
,Lunglei,"Thangkhuma Building, Salem Veng",2,,,3,,,2,
,,"K.Lalliantluanga, Chanmari I, Lunglei",2,,,2,,,2,
Nagaland,Dimapur,Bank Colony,2,,,2,,,2,
,,Dhobinala,2,,,2,,,2,
,,"Signal point, Dimapur, Nagaland SPCB",2,,,2,,,2,
,,"House no-288, Tenyiphe-I, Chumukiedima,
Dimapur",2,,,2,,,2,
,,"Vidya Bhawan School, Lane 17, Nagarjan, Kuda
Village, Dimapur",2,,,2,,,2,
,,"House no 24, Near community Hall, Viola colony,
Dimapur",2,,,2,,,2,
,,"ERJO Motors, Burma Camp, Dimapur",2,,,2,,,2,
,Kohima,Opposite NST Office,2,,,2,,,2,
,,Opposite War Cemetery,2,,,2,,,2,
Odisha,Angul,Industrial Estate,5,,,17,,,10,
,,NALCO Township,6,,,25,,,9,
,Balasore,Sahadevkhunta,2,,,2,,,2,
,,DIC office,2,,,2,,,2,
,,Rasalpur near Balgopalpur I/A,6,,,9,,,7,
,Berhampur,Regional Office Orissa SPCB,2,,,7,,,4,
,,IRC Village,2,,,2,,,2,
,,Office Premises Bhubaneswar,2,,,2,,,2,
,,"Patrapara, Khandagiri",2,,,3,,,2,
,,Chandrashekharpur,2,,,2,,,2,
,Bonaigarh,"Govt. Hospital Bonai At/Po/PS-Bonai Dist-
Sudargarh",4,,,19,,,7,
,,P.H.D Office Barabati,2,,,5,,,4,
,,"R.O. Cuttack Office, Surya Vihar",2,,,6,,,3,
,Jharsuguda,R.O. Building Cox colony,4,,,16,,,7,
,,"TRL Colony, M/s. TRL Krosaki Refractories Ltd.
PO: Bhepahar,",5,,,16,,,7,
,Kalinga Nagar,Over the Guest House of M/s NINL,2,,,2,,,2,
,,RO Office Building,2,,,4,,,2,
,Konark,Konark Police Station,2,,,2,,,2,
City/Town/Village,,,,,,,,,,
,,,,,,,,,,
Location,,,,,,,,,,
,,,,,,,,,,
Annual,,,,,,,,,,
Average,,,,,,,,,,
State / UT,City/Town/Village,Location,,SO2 Concentration in µg/m3,,,,,,
,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,(24-hourly,,,(24-hourly,,,
,,,,average),,,average),,,
,Paradeep,On roof of PPT Staff Quarter,9,,,25,,,18,
,,On roof of PPL Gueest,9,,,26,,,18,
,Puri,Town Police Station,2,,,2,,,2,
,Rajgangpur,"DISIR, Rajgangpur",4,,,17,,,7,
,Rayagada,Regional Office Orissa SPCB,2,,,8,,,4,
,,"LPS High School, Jaykaypur",2,,,7,,,4,
,Rourkela,"Regional Office, ORPB",2,,,16,,,6,
,,Kalunga Industrial Estate,4,,,23,,,7,
,,"IDL Police Out-post, Sonaparbat",2,,,16,,,6,
,,"Kuarmunda, Sundergarh",4,,,18,,,7,
,Sambalpur,"Filter Plant, PHD Office, Modipara",2,,,10,,,5,
,Talcher,Coal Field Area,7,,,12,,,9,
,,T.T.P.S.Colony,7,,,13,,,10,
Puducherry,Karaikal,"B.Ed College (PKCE), Nehru Nagar",2,,,3,,,2,
,,"Govt. Tourist Home, Kovilpathu",2,,,3,,,2,
,,"M/s Puducherry Power Corporation Limited,
Polagam, T.R. Pattinam,",2,,,3,,,2,
,Puducherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar",2,,,6,,,3,
,,PIPDIC Ind. Estate Mettupalayam,2,,,6,,,3,
